Account,Failure,Success
00b546d495d29ea025af220831ceee42,0.0,100.0
0115afca115b436ff35c864efd26d9fe,0.0,100.0
03cab2d7904852792c985c18e53e5323,33.0,67.0
0643aba5bbf86ece22ee145f322a9c6a,75.0,25.0
07532bb8bd0171f0fa684ff1f4f7debf,100.0,0.0
09e5e3e94f1a12843eb46581b1e8a881,19.0,81.0
0b8072450ee555897c3d4221a569b5fb,68.0,32.0
0c7f2f29d56d894bf17ab6dee7034082,0.0,100.0
0e1ebad68af7f0ae4830b7ac92bc3c6f,100.0,0.0
1171d78d0d618b225dfa50bc2ebb2399,15.0,85.0
12e8bc147311e2f5bf7ba36fd0039a59,10.0,90.0
139c3c1b7ca46a9d4fd6d163d98af635,100.0,0.0
13e28b82b739928c070be77afbc668ea,100.0,0.0
1511919f603e917ae2f763b63c5c15b6,67.0,33.0
166cee72e93a992007a89b39eb29628b,9.0,91.0
17dc68ce596201b9da4fb28f22fb1e7e,58.0,42.0
17fe9b5b198068c83c6a9b31ec4276c4,0.0,100.0
19ddc61af8f213d2c43c17204efab297,43.0,57.0
1ae57011abbb1b94831e7557ea58c843,0.0,100.0
1c7836dbabd12c458d20e3b35633733a,26.0,74.0
1f72e258ff730035f2a1fb6637f562c2,100.0,0.0
1fd0d1e38cdc9aeb0ac25d31a129f01d,17.0,83.0
21adc1868d67ad76612abec6167046e4,1.0,99.0
221c2c491bbe1c88e6cabfa419c04efd,72.0,28.0
24184888665175cc74510d541c546ab7,100.0,0.0
28f7241796510e838db4a1384ae1279d,100.0,0.0
2996962656838a97af4c5f926fe6f1b0,0.0,100.0
29d18df909d829e7f42401fde024f191,38.0,62.0
2a774e39028f01ddda0a84aa85d069e8,27.0,73.0
2bc16f61719c604450e92d898ed19585,100.0,0.0
2c70bf4df3f4bfe2322ecf7a8803418c,0.0,100.0
2ce46e16e28e2ff305109bfc295a481a,46.0,54.0
2f891485332423c8715842537cf742a0,4.0,96.0
3025bca536e70f9e252460758ae3e5f2,100.0,0.0
30d73208d2faf2d850b0ee41fdaad82b,100.0,0.0
317eed7b9af1dd5cec93d719de4ce692,0.0,100.0
332c20b03c6a26cdd95a080e7d435ce4,8.0,92.0
33e75ff09dd601bbe69f351039152189,1.0,99.0
3517fa423c73116f3f78c6cbaa5fe4ef,0.0,100.0
36bf0c2be198fce4b4ce1bdc6c9dbd56,33.0,67.0
37c66982c5d5bb81ae22bd45f9e270d0,68.0,32.0
37fd913e3ae9a65bc011675868062827,0.0,100.0
39f4eef0175c754bb90417358b0133c3,100.0,0.0
3afe923266f0b23c836dcc7ce34a6a7a,58.0,42.0
3b4421d0ab0e43c65932c51fb58f593f,100.0,0.0
3c77791b126e1e33dc95c13a3d914e11,0.0,100.0
3d88841ebcc0f7920755726b280302e7,100.0,0.0
3e0d0714047240704cb51e0eb3a0101c,33.0,67.0
3e50ca86fdcdd0a6aae61164aa80c9db,0.0,100.0
3e9e39fed3b8369ed940f52cf300cf88,61.0,39.0
3ff5f362073a3e37fcf98867f5b4f527,100.0,0.0
400362daca8ad3cbfaf07300bc4bd898,100.0,0.0
426f990b332ef8193a61cc90516c1245,1.0,99.0
4337f7ca32a4a36b744e31b93244e926,0.0,100.0
4368a6fbe6536f5759dbe5cd11a29886,0.0,100.0
440100b44ff391ac670eb590ea7f8a77,33.0,67.0
44f5aced9f0489844960c317c3b44685,0.0,100.0
4614ebe3b424d6d3ed9d84d0f366598d,0.0,100.0
498f940d9b933c529b06aa96d18f7eda,74.0,26.0
4ac01ffdf0ae169300e3aaa2b945deb0,0.0,100.0
4b1905cff5bc8b47ae1c9d92e2c759df,92.0,8.0
4d87b1e68362a3641ee2399990e7fec2,80.0,20.0
51783af2204a29397c69b616f383246a,0.0,100.0
517fc8ecad583e1ddb8f5764ddf8834f,0.0,100.0
526942c9d60fde20667c1f830d8c334b,100.0,0.0
55ce9983bd34eb588124dc84b353f5b2,46.0,54.0
5738ac7801a7ea5896a95bba26b30c3f,40.0,60.0
581a4c33889fc7aeca599e03628e37d3,0.0,100.0
5b97f793636f8baec3ff8cd0ebf5c33c,100.0,0.0
5ba5243c88dd19c466dee8cb5bc8eb35,92.0,8.0
5c14de2d4c7e32c514b615f0b787635a,0.0,100.0
5c9dd188159c09ac3db3a286a47f7eb2,0.0,100.0
5e2f99c904f4fc45fd236fcc934a0297,100.0,0.0
5eac43aceba42c8757b54003a58277b5,7.0,93.0
614594c34e0c9dc796cb21d5e806768b,67.0,33.0
622b3c9b429ed569000a3ffaaa307f6d,100.0,0.0
62e44187d92348c552952aa4bf152e90,0.0,100.0
